实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 图框-前吊耳,,,,,700.8,12,700.8,492,,,,,,,,,,,
HATCH,剖面线层,256,BYLAYER,-1,,,无图案,,,,,,,,,,,,,"(-62, -200); (-62, -170); (-62, -170); (-46, -170); (-46, -170); (-38.5, -170); (-38.5, -170); (-37.5, -171); (-37.5, -171); (-37.5, -183); (-37.5, -183); (-39.5, -183); (-39.5, -183); (-39.5, -186); (-39.5, -186); (-37.5, -186); (-37.5, -186); (-37.5, -200); (-37.5, -200); (-62, -200); (-62, -200); (-62, -230); (-62, -230); (-62, -200); (-62, -200); (-37.5, -200); (-37.5, -200); (-37.5, -214); (-37.5, -214); (-39.5, -214); (-39.5, -214); (-39.5, -217); (-39.5, -217); (-37.5, -217); (-37.5, -217); (-37.5, -229); (-37.5, -229); (-38.5, -230); (-38.5, -230); (-46, -230); (-46, -230); (-62, -230); (-62, -230); (-62, -200)",,,,,,,1
HATCH,剖面线层,256,BYLAYER,-1,,,无图案,,,,,,,,,,,,,"(37.5, -183); (37.5, -171); (37.5, -171); (38.5, -170); (38.5, -170); (120, -170); (120, -170); (120, -177); (120, -177); (62, -177); (62, -177); (62, -179); (62, -179); (56.038, -179); (56.038, -179); (52, -200); (52, -200); (37.5, -200); (37.5, -200); (37.5, -186); (37.5, -186); (39.5, -186); (39.5, -186); (39.5, -183); (39.5, -183); (37.5, -183); (37.5, -183); (37.5, -229); (37.5, -229); (37.5, -217); (37.5, -217); (39.5, -217); (39.5, -217); (39.5, -214); (39.5, -214); (37.5, -214); (37.5, -214); (37.5, -200); (37.5, -200); (52, -200); (52, -200); (56.038, -221); (56.038, -221); (62, -221); (62, -221); (62, -223); (62, -223); (120, -223); (120, -223); (120, -230); (120, -230); (38.5, -230); (38.5, -230); (37.5, -229); (37.5, -229); (37.5, -183)",,,,,,,1
INSERT,0,256,BYLAYER,-1,,,,块名: 其余12.5-前吊耳,,,506.1,101.4,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 其余12.5-前吊耳,,,,,0,0,-8.083,14,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 其余12.5-前吊耳,,,,,0,0,16.166,28,,,,,,,,,,,
MTEXT,尺寸线层,256,BYLAYER,-1,,,,引用于: 其余12.5-前吊耳,12.5,,-10.802,24.264,,,,,,,,,,7,0,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 其余12.5-前吊耳,,,,,-8.083,14,8.083,14,,,,,,,,,,,
MTEXT,尺寸线层,256,BYLAYER,-1,,,,引用于: 其余12.5-前吊耳,其余,,-41.285,14.026,,,,,,,,,,10,0,,,,
INSERT,0,256,BYLAYER,-1,,,,块名: 3.2-1-前吊耳,,,94.55,23,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 3.2-1-前吊耳,,,,,0,0,4.041,-7,,,,,,,,,,,
MTEXT,尺寸线层,256,BYLAYER,-1,,,,引用于: 3.2-1-前吊耳,3.2,,-4.647,-10.369,,,,,,,,,,5,0,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 3.2-1-前吊耳,,,,,4.041,-7,-4.041,-7,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 3.2-1-前吊耳,,,,,0,0,-8.66,-15,,,,,,,,,,,
INSERT,0,256,BYLAYER,-1,,,,块名: 3.2-2-前吊耳,,,120,-50.566,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 3.2-2-前吊耳,,,,,0,0,7,4.041,,,,,,,,,,,
MTEXT,尺寸线层,256,BYLAYER,-1,,,,引用于: 3.2-2-前吊耳,3.2,,8.319,2.724,,,,,,,,,,5,0,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 3.2-2-前吊耳,,,,,7,4.041,7,-4.041,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: 3.2-2-前吊耳,,,,,0,0,15,-8.66,,,,,,,,,,,
